OrderID,Date,Customer,Category,Product,Sales,Quantity
3001,11/01/2023,Customer_315,Books,Comic,856,4.0
2422,21/11/2023,Customer_371,Furniture,Bookshelf,1746,3.0
2922,15/12/2024,,Electronics,Phone,3800,5.0
3074,2024-06-08,Customer_307,Toys,Lego Set,"₹2,238",3.0
1196,"Aug 20, 2023",Customer_393,Groceries,Spices,"1,652",4.0
2035,21/06/2023,Customer_22,Furniture,Bed,1175,5.0
3174,2024-01-01,Customer_167,Groceries,Oil,708,1.0
3093,2023-08-30,Customer_190,Electronics,Headphones,650,1.0
1064,2023-08-13,Customer_385,Clothing,T-shirt,890,1.0
2696,2024-10-31,Customer_190,Books,Novel,1251,1.0
3036,2023-04-21,Customer_322,Electronics,Smartwatch,4956,4.0
1547,2023-02-25,Customer_214,Toys,Board Game,3450,3.0
2853,2023-11-10,Customer_248,Sports,Tennis Racket,4080,5.0
3212,2024-06-22,Customer_396,Sports,Football,"₹6,615",5.0
2731,2024-06-27,Customer_257,Groceries,Spices,2025,3.0
3256,02/07/2024,Customer_268,Books,Novel,951,3.0
1413,21/01/2024,Customer_172,Sports,Football,1366,1.0
2821,2023-10-08,Customer_281,Electronics,Laptop,"2,774",2.0
2556,23/02/2024,Customer_379,Electronics,,2817,3.0
2180,2023-10-31,Customer_71,Furniture,Chair,3123,3.0
3458,31/08/2024,Customer_4,Toys,Board Game,70,1.0
3062,09/06/2023,Customer_86,Toys,Puzzle,980,1.0
2948,"Nov 27, 2023",Customer_84,Books,Textbook,"₹1,415",5.0
2743,2023-07-24,Customer_302,Clothing,Jeans,3585,3.0
1027,2024-03-17,Customer_49,Toys,Puzzle,1369,1.0
1148,2023-10-14,Customer_251,Toys,Lego Set,4275,5.0
1424,2023-05-14,Customer_7,Clothing,T-shirt,475,1.0
1218,2024-10-24,Customer_243,Toys,RC Car,282,3.0
1563,2024-02-19,Customer_199,Beauty,Face Cream,"₹5,240",4.0
3061,2023-01-22,Customer_88,Electronics,Headphones,3213,3.0
1061,10/10/2024,Customer_146,Clothing,T-shirt,"₹6,895",5.0
1214,03/11/2024,Customer_35,Electronics,Headphones,1539,3.0
2911,2024-09-24,Customer_371,Furniture,Chair,718,1.0
2335,"Jul 28, 2023",Customer_121,Groceries,Rice,₹75,3.0
2078,22/07/2024,Customer_301,Beauty,Sunscreen,₹524,1.0
1705,2023-07-15,Customer_217,Furniture,Bookshelf,2199,3.0
3034,13/07/2023,Customer_202,Toys,RC Car,156,1.0
1728,"Nov 18, 2024",Customer_139,Toys,Lego Set,1900,4.0
1944,2024-08-07,Customer_12,Books,Biography,2379,3.0
1151,21/02/2023,Customer_329,Furniture,Table,315,5.0
1399,2024-12-16,Customer_301,Sports,Dumbbells,655,1.0
2650,2024-04-14,Customer_393,Furniture,Sofa,1456,2.0
2258,2023-03-21,Customer_14,Toys,Board Game,2630,5.0
3277,2024-11-18,Customer_72,Electronics,,"₹3,452",4.0
2789,2024-06-29,Customer_272,Clothing,Cap,580,5.0
1326,2024-07-31,Customer_40,Clothing,Shoes,1056,3.0
1514,13/04/2023,Customer_136,Books,Textbook,488,4.0
3424,2023-12-31,Customer_389,Clothing,Jeans,944,1.0
1808,2023-02-03,Customer_249,Beauty,Shampoo,"₹2,200",2.0
2268,2023-06-19,Customer_374,Furniture,Chair,₹422,2.0
1122,2023-09-02,Customer_165,Toys,Board Game,"2,896",2.0
2962,2024-02-02,Customer_285,Beauty,Perfume,"3,198",
1363,2023-06-20,Customer_356,Books,Biography,"₹2,312",
2997,05/07/2024,Customer_131,Sports,Football,3220,4.0
1545,03/01/2024,Customer_386,Beauty,Shampoo,₹430,5.0
2491,2023-02-16,Customer_317,Sports,Tennis Racket,632,4.0
1853,2023-04-29,Customer_15,Clothing,Jeans,"4,296",4.0
2916,2023-03-23,Customer_95,Electronics,Smartwatch,160,5.0
1900,31/10/2024,Customer_154,Clothing,Jacket,1096,4.0
2953,2023-12-13,Customer_387,Groceries,Rice,2253,3.0
3386,"Mar 10, 2024",Customer_73,Books,Novel,1230,3.0
2850,2024-07-30,Customer_47,Furniture,Bed,3297,3.0
1768,14/08/2024,Customer_267,Electronics,Phone,198,3.0
2842,29/01/2023,Customer_168,Electronics,Phone,2588,4.0
2635,2023-11-14,Customer_158,Furniture,Table,582,2.0
3101,18/04/2024,Customer_146,Furniture,Bed,,
3147,,Customer_160,Toys,Lego Set,840,4.0
2620,22/04/2024,Customer_92,Toys,Action Figure,768,1.0
1491,"Nov 27, 2024",Customer_372,Clothing,Jacket,1970,5.0
1947,2023-02-18,Customer_110,Furniture,Bed,1689,3.0
1296,2023-01-17,Customer_339,Furniture,Chair,"₹5,116",
2701,"Mar 03, 2024",Customer_241,Toys,RC Car,656,4.0
2996,,Customer_304,Books,Biography,1410,1.0
1439,2023-03-02,Customer_368,Clothing,Jacket,1364,2.0
2785,"Jan 27, 2023",Customer_188,Beauty,Lipstick,"₹5,340",4.0
1743,"Sep 08, 2023",Customer_308,Books,Novel,165,
3398,2024-06-12,,Beauty,Lipstick,"₹1,774",2.0
2407,2023-04-05,Customer_141,Clothing,Jacket,1712,4.0
1524,2023-02-25,Customer_77,Sports,Dumbbells,6375,5.0
3362,2024-03-26,Customer_96,Books,Novel,"₹1,885",5.0
3119,09/02/2023,Customer_136,Groceries,Snacks,4065,3.0
2807,"Dec 27, 2024",Customer_185,Furniture,Table,6985,5.0
2727,2024-06-28,Customer_146,Books,Biography,1683,3.0
2893,11/11/2023,Customer_381,Sports,Cricket Bat,912,2.0
2956,2024-11-30,Customer_123,Beauty,Shampoo,"₹1,340",1.0
1187,03/04/2023,Customer_147,Electronics,Headphones,1340,1.0
2003,2024-02-17,Customer_107,Furniture,Chair,1630,2.0
1825,20/09/2024,Customer_394,Clothing,Cap,1868,4.0
2974,2023-06-28,Customer_326,Groceries,Rice,₹995,1.0
2559,2024-08-25,Customer_91,Sports,Dumbbells,7495,5.0
3121,"Feb 18, 2023",Customer_204,Books,Comic,900,1.0
1342,15/10/2023,Customer_125,Books,Biography,2370,3.0
2543,03/11/2024,Customer_194,Sports,Cricket Bat,430,5.0
1263,05/03/2023,Customer_397,Toys,RC Car,4925,5.0
2135,2023-08-28,Customer_13,Beauty,Face Cream,,2.0
3377,2023-04-18,Customer_58,Furniture,Chair,"3,376",4.0
2496,2024-11-26,Customer_130,Groceries,Oil,"3,664",4.0
1465,2023-09-22,Customer_322,Toys,Puzzle,2476,2.0
2211,2024-02-13,Customer_123,Sports,,"₹4,146",3.0
1554,2024-11-10,Customer_179,Toys,Lego Set,912,2.0
1984,"Nov 28, 2023",Customer_6,Books,Novel,1168,4.0
2767,2023-06-09,Customer_5,Clothing,Cap,2164,2.0
2646,18/01/2024,Customer_243,Toys,Board Game,1074,2.0
1811,2023-11-05,Customer_238,Electronics,Laptop,3980,4.0
1960,2023-04-25,Customer_371,Furniture,Bookshelf,1006,2.0
2203,2024-03-03,,Books,Novel,1446,1.0
2954,2024-06-21,Customer_206,Furniture,Bookshelf,,5.0
1279,15/02/2024,Customer_264,Toys,Board Game,591,3.0
2706,19/10/2024,Customer_136,Books,Comic,695,1.0
3229,2024-10-21,Customer_111,Groceries,Snacks,"1,698",2.0
2720,"Feb 11, 2023",Customer_117,Clothing,Jeans,1532,4.0
1268,2023-03-22,Customer_149,Sports,Cricket Bat,609,1.0
2715,2023-03-08,Customer_195,Clothing,Shoes,1389,
3229,2024-10-21,Customer_111,Groceries,Snacks,"1,698",2.0
1111,2024-04-26,Customer_224,Clothing,Cap,824,4.0
2612,2023-08-10,Customer_304,Groceries,Rice,460,2.0
3342,2024-05-17,Customer_301,Toys,Board Game,7435,5.0
3132,2023-06-14,,Furniture,Chair,1440,2.0
2843,2024-09-27,Customer_89,Sports,Football,2646,2.0
3228,2023-09-04,Customer_25,Furniture,Bed,2130,5.0
2605,31/07/2024,Customer_166,Beauty,Sunscreen,"₹3,905",5.0
3381,2023-06-30,Customer_54,Beauty,Sunscreen,1194,2.0
1846,2023-10-05,Customer_106,Books,Comic,2660,2.0
2574,27/09/2023,Customer_20,Groceries,Oil,5712,4.0
1340,2024-08-31,Customer_172,Sports,Dumbbells,,4.0
3145,2023-10-11,Customer_41,Groceries,Beverages,240,2.0
2188,2024-05-07,Customer_230,Beauty,Sunscreen,1152,2.0
